InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,dup_flag,cohort_date,cohort_index
538116,21181,PLEASE ONE PERSON METAL SIGN,12,32:00.0,2.1,13327,United Kingdom,1,01/12/2010,1
538116,21931,JUMBO STORAGE BAG SUKI,20,32:00.0,1.95,13327,United Kingdom,1,01/12/2010,1
538116,22112,CHOCOLATE HOT WATER BOTTLE,12,32:00.0,4.95,13327,United Kingdom,1,01/12/2010,1
538117,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,33:00.0,1.45,13327,United Kingdom,1,01/12/2010,1
538167,10002,INFLATABLE POLITICAL GLOBE ,12,58:00.0,0.85,14713,United Kingdom,1,01/12/2010,1
538167,20727,LUNCH BAG  BLACK SKULL.,3,58:00.0,1.65,14713,United Kingdom,1,01/12/2010,1
538167,20748,KENSINGTON COFFEE SET,1,58:00.0,12.75,14713,United Kingdom,1,01/12/2010,1
538167,22367,CHILDRENS APRON SPACEBOY DESIGN,2,58:00.0,1.95,14713,United Kingdom,1,01/12/2010,1
538167,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3,58:00.0,3.75,14713,United Kingdom,1,01/12/2010,1
538167,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,2,58:00.0,2.95,14713,United Kingdom,1,01/12/2010,1
538190,21034,REX CASH+CARRY JUMBO SHOPPER,2,47:00.0,0.95,17790,United Kingdom,1,01/12/2010,1
538190,22469,HEART OF WICKER SMALL,20,47:00.0,1.65,17790,United Kingdom,1,01/12/2010,1
538190,22694,WICKER STAR ,2,47:00.0,2.1,17790,United Kingdom,1,01/12/2010,1
538190,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,47:00.0,2.95,17790,United Kingdom,1,01/12/2010,1
538211,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,47:00.0,3.75,17690,United Kingdom,1,01/12/2010,1
538313,21889,WOODEN BOX OF DOMINOES,24,50:00.0,1.25,15514,United Kingdom,1,01/12/2010,1
538313,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,50:00.0,2.95,15514,United Kingdom,1,01/12/2010,1
538313,22726,ALARM CLOCK BAKELIKE GREEN,3,50:00.0,3.75,15514,United Kingdom,1,01/12/2010,1
538327,21644,ASSORTED TUTTI FRUTTI HEART BOX,1,58:00.0,1.25,15514,United Kingdom,1,01/12/2010,1
538327,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,6,58:00.0,1.65,15514,United Kingdom,1,01/12/2010,1
538327,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6,58:00.0,4.95,15514,United Kingdom,1,01/12/2010,1
538327,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,58:00.0,1.25,15514,United Kingdom,1,01/12/2010,1
538342,22586,FELTCRAFT HAIRBAND PINK AND BLUE,47,04:00.0,0.85,15514,United Kingdom,1,01/12/2010,1
538418,20977,36 PENCILS TUBE WOODLAND,3,00:00.0,1.25,17372,United Kingdom,1,01/12/2010,1
538418,21212,PACK OF 72 RETROSPOT CAKE CASES,2,00:00.0,0.55,17372,United Kingdom,1,01/12/2010,1
538418,72598,SET/12 TAPER CANDLES,2,00:00.0,0.85,17372,United Kingdom,1,01/12/2010,1
538418,85084,HOLLY TOP CHRISTMAS STOCKING,4,00:00.0,0.85,17372,United Kingdom,1,01/12/2010,1
538419,20793,BLUE TILED TRAY,1,01:00.0,6.75,16367,United Kingdom,1,01/12/2010,1
538419,21380,WOODEN HAPPY BIRTHDAY GARLAND,1,01:00.0,2.95,16367,United Kingdom,1,01/12/2010,1
538419,21411,GINGHAM HEART  DOORSTOP RED,1,01:00.0,4.25,16367,United Kingdom,1,01/12/2010,1
538419,21464,DISCO BALL ROTATOR BATTERY OPERATED,1,01:00.0,4.25,16367,United Kingdom,1,01/12/2010,1
538419,21506,"FANCY FONT BIRTHDAY CARD, ",12,01:00.0,0.42,16367,United Kingdom,1,01/12/2010,1
538419,21981,PACK OF 12 WOODLAND TISSUES ,1,01:00.0,0.29,16367,United Kingdom,1,01/12/2010,1
538449,20961,STRAWBERRY BATH SPONGE ,6,24:00.0,1.25,17085,United Kingdom,1,01/12/2010,1
538449,21165,BEWARE OF THE CAT METAL SIGN ,1,24:00.0,1.69,17085,United Kingdom,1,01/12/2010,1
538449,21175,GIN + TONIC DIET METAL SIGN,3,24:00.0,2.1,17085,United Kingdom,1,01/12/2010,1
538449,21733,RED HANGING HEART T-LIGHT HOLDER,4,24:00.0,2.95,17085,United Kingdom,1,01/12/2010,1
538449,21904,HOUSE WRECKING METAL SIGN ,2,24:00.0,2.1,17085,United Kingdom,1,01/12/2010,1
538449,22095,LADS ONLY TISSUE BOX,6,24:00.0,1.25,17085,United Kingdom,1,01/12/2010,1
538449,22855,FINE WICKER HEART ,6,24:00.0,1.25,17085,United Kingdom,1,01/12/2010,1
538509,20718,RED RETROSPOT SHOPPER BAG,1,37:00.0,1.25,14413,United Kingdom,1,01/12/2010,1
538509,21034,REX CASH+CARRY JUMBO SHOPPER,1,37:00.0,0.95,14413,United Kingdom,1,01/12/2010,1
538509,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,37:00.0,0.65,14413,United Kingdom,1,01/12/2010,1
538509,22505,MEMO BOARD COTTAGE DESIGN,2,37:00.0,4.95,14413,United Kingdom,1,01/12/2010,1
538509,22780,LIGHT GARLAND BUTTERFILES PINK,1,37:00.0,4.25,14413,United Kingdom,1,01/12/2010,1
538509,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,1,37:00.0,9.95,14413,United Kingdom,1,01/12/2010,1
538510,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,2,47:00.0,1.65,18004,United Kingdom,1,01/12/2010,1
538510,48173C,DOORMAT BLACK FLOCK ,1,47:00.0,7.95,18004,United Kingdom,1,01/12/2010,1
538510,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,47:00.0,1.95,18004,United Kingdom,1,01/12/2010,1
538532,21479,WHITE SKULL HOT WATER BOTTLE ,4,31:00.0,3.75,13209,United Kingdom,1,01/12/2010,1
538532,22184,CAKE STAND VICTORIAN FILIGREE LARGE,2,31:00.0,8.5,13209,United Kingdom,1,01/12/2010,1
538532,79067,CORONA MEXICAN TRAY,12,31:00.0,3.75,13209,United Kingdom,1,01/12/2010,1
538532,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,31:00.0,2.95,13209,United Kingdom,1,01/12/2010,1
538533,21215,IVORY PAPER CUP CAKE CASES ,4,31:00.0,0.55,14796,United Kingdom,1,01/12/2010,1
538533,22296,HEART IVORY TRELLIS LARGE,24,31:00.0,1.65,14796,United Kingdom,1,01/12/2010,1
538533,22417,PACK OF 60 SPACEBOY CAKE CASES,2,31:00.0,0.55,14796,United Kingdom,1,01/12/2010,1
538533,22450,SILK PURSE BABUSHKA BLUE,1,31:00.0,3.35,14796,United Kingdom,1,01/12/2010,1
538533,22536,MAGIC DRAWING SLATE PURDEY,1,31:00.0,0.42,14796,United Kingdom,1,01/12/2010,1
538533,85227,SET OF 6 3D KIT CARDS FOR KIDS,1,31:00.0,0.85,14796,United Kingdom,1,01/12/2010,1
538596,20829,GLITTER HANGING BUTTERFLY STRING,12,10:00.0,2.1,17990,United Kingdom,1,01/12/2010,1
538635,17021,NAMASTE SWAGAT INCENSE,12,32:00.0,0.3,17303,United Kingdom,1,01/12/2010,1
538635,21212,PACK OF 72 RETROSPOT CAKE CASES,1,32:00.0,0.55,17303,United Kingdom,1,01/12/2010,1
538635,22115,METAL SIGN EMPIRE TEA,1,32:00.0,2.95,17303,United Kingdom,1,01/12/2010,1
538635,22191,IVORY DINER WALL CLOCK,1,32:00.0,8.5,17303,United Kingdom,1,01/12/2010,1
538635,22498,WOODEN REGATTA BUNTING,1,32:00.0,5.95,17303,United Kingdom,1,01/12/2010,1
538635,22573,STAR WOODEN CHRISTMAS DECORATION,7,32:00.0,0.85,17303,United Kingdom,1,01/12/2010,1
538635,22583,PACK OF 6 HANDBAG GIFT BOXES,2,32:00.0,2.55,17303,United Kingdom,1,01/12/2010,1
538635,22640,SET OF 4 NAPKIN CHARMS 3 KEYS ,1,32:00.0,2.55,17303,United Kingdom,1,01/12/2010,1
538635,84992,72 SWEETHEART FAIRY CAKE CASES,1,32:00.0,0.55,17303,United Kingdom,1,01/12/2010,1
538652,20826,SILVER APERITIF GLASS,6,12:00.0,2.12,17890,United Kingdom,1,01/12/2010,1
538652,21034,REX CASH+CARRY JUMBO SHOPPER,3,12:00.0,0.95,17890,United Kingdom,1,01/12/2010,1
538652,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,12:00.0,1.45,17890,United Kingdom,1,01/12/2010,1
